Bin Heap, 100000, 5997
Bin Heap, 200000, 16524
Bin Heap, 300000, 25638
Bin Heap, 400000, 40930
Bin Heap, 500000, 51789
Bin Heap, 600000, 70480
Bin Heap, 700000, 89762
Bin Heap, 800000, 114825
Bin Heap, 900000, 140601
Bin Heap, 1000000, 169635
Bin Heap, 1100000, 209803
Bin Heap, 1200000, 277053
Bin Heap, 1300000, 281567
Bin Heap, 1400000, 324700
Bin Heap, 1500000, 384616
Bin Heap, 1600000, 526466
Bin Heap, 1700000, 531259
Bin Heap, 1800000, 527622
Bin Heap, 1900000, 555848
Bin Heap, 2000000, 582985
Bin Heap, 2100000, 605487
Bin Heap, 2200000, 658734
Bin Heap, 2300000, 693911
Bin Heap, 2400000, 746481
Bin Heap, 2500000, 799582
Bin Heap, 2600000, 844317
Bin Heap, 2700000, 898177
Bin Heap, 2800000, 958404
Bin Heap, 2900000, 1004852
Bin Heap, 3000000, 1057903
Bin Heap, 3100000, 1106982
Bin Heap, 3200000, 1159693
Bin Heap, 3300000, 1229315
Bin Heap, 3400000, 1282994
Bin Heap, 3500000, 1330745
Bin Heap, 3600000, 1399131
Bin Heap, 3700000, 1450993
Bin Heap, 3800000, 1508362
Bin Heap, 3900000, 1564031
Bin Heap, 4000000, 1613118
Bin Heap, 4100000, 1776246
Bin Heap, 4200000, 1614753
Bin Heap, 4300000, 1483723
Bin Heap, 4400000, 1707147
Bin Heap, 4500000, 1823723
Bin Heap, 4600000, 1880392
Bin Heap, 4700000, 1947755
Bin Heap, 4800000, 1969883
Bin Heap, 4900000, 2074387
Bin Heap, 5000000, 2053837
Bin Heap, 5100000, 2181240
Bin Heap, 5200000, 2242646
Bin Heap, 5300000, 2268322
Bin Heap, 5400000, 2359842
Bin Heap, 5500000, 2430672
Bin Heap, 5600000, 2461741
Bin Heap, 5700000, 2525594
Bin Heap, 5800000, 2504498
Bin Heap, 5900000, 2632252
Bin Heap, 6000000, 2704502
Bin Heap, 6100000, 2764771
Bin Heap, 6200000, 2815936
Bin Heap, 6300000, 2869086
Bin Heap, 6400000, 2940962
Bin Heap, 6500000, 3133465
Bin Heap, 6600000, 3115817
Bin Heap, 6700000, 3171748
Bin Heap, 6800000, 3184801
Bin Heap, 6900000, 3218976
Bin Heap, 7000000, 3338487
Bin Heap, 7100000, 3286147
Bin Heap, 7200000, 3450201
Bin Heap, 7300000, 3561490
Bin Heap, 7400000, 3551735
Bin Heap, 7500000, 3665690
Bin Heap, 7600000, 3766731
Bin Heap, 7700000, 3878424
Bin Heap, 7800000, 3828833
Bin Heap, 7900000, 3842353
Bin Heap, 8000000, 3994219
Bin Heap, 8100000, 4076018
Bin Heap, 8200000, 4078662
Bin Heap, 8300000, 4185964
Bin Heap, 8400000, 4237380
Bin Heap, 8500000, 4504475
Bin Heap, 8600000, 4315649
Bin Heap, 8700000, 4369943
Bin Heap, 8800000, 4571229
Bin Heap, 8900000, 4625227
Bin Heap, 9000000, 4627506
Bin Heap, 9100000, 4753662
Bin Heap, 9200000, 4685113
Bin Heap, 9300000, 4752847
Bin Heap, 9400000, 4885879
Bin Heap, 9500000, 5086863
Bin Heap, 9600000, 5184157
Bin Heap, 9700000, 5165710
Bin Heap, 9800000, 5168502
Bin Heap, 9900000, 5285249
